cml_id,sublink_id,device_name,site_0_lat,site_0_lon,site_0_elevation,site_0_altitude,site_1_lat,site_1_lon,site_1_elevation,site_1_altitude,frequency,frequency_units,length,polarization,tsl,rsl
35,sublink_1,nycmesh-7800-af60lr-898 ↔ nycmesh-898-af60lr-7800,40.815368,-73.950324,35.0,88.0,40.830401,-73.940881,41.0,79.0,65880.0,MHz,1850.8331476249275,sta-ptp,-43.0,-43.0
36,sublink_1,nycmesh-5916-af60lr-1340 ↔ nycmesh-1340-af60lr-5916,40.695935,-73.939753,23.0,98.4,40.686118,-73.917444,,68.0,65880.0,MHz,2174.7280991291723,sta-ptp,-58.0,-58.0
37,sublink_1,nycmesh-3606-gbelr-1417 ↔ nycmesh-1417-gbelr-3606,40.708571,-73.921886,8.0,0.0,40.713606,-73.935565,7.0,0.0,64800.0,MHz,1281.7022730013011,sta-ptp,-60.0,-60.0
38,sublink_1,nycmesh-3461-waveapmicro-north ↔ nycmesh-7986-wavepico,40.672686,-73.963954,,96.5,40.672777,-73.952881,,5.0,64800.0,MHz,933.8983966464816,ap-ptmp,-63.0,-65.0
39,sublink_1,nycmesh-1933-af60lr-6925 ↔ nycmesh-6925-af60lr-1933,40.715632,-73.984391,,91.0,40.692078,-73.968996,,44.0,64800.0,MHz,2922.964485457743,ap-ptp,-67.0,-67.0
40,sublink_1,nycmesh-3461-waveapmicro-north ↔ nycmesh-912-wavepico,40.672686,-73.963954,,96.5,40.671312,-73.956677,,5.0,64800.0,MHz,632.4453157638943,ap-ptmp,-63.0,-60.0
41,sublink_1,nycmesh-5916-waveapmicro-southeast ↔ nycmesh-158-af60lr,40.696125,-73.939608,,91.0,40.691716,-73.924483,23.0,38.7,64800.0,MHz,1382.0,ap-ptmp,-56.0,-56.0
42,sublink_1,nycmesh-632-gbep-1084 ↔ nycmesh-1084-gbep-632,40.734646,-73.95053,,37.0,40.729552,-73.945949,4.0,8.0,62640.0,MHz,685.0,ap-ptp,,
43,sublink_1,nycmesh-5151-northeast ↔ nycmesh-lbe-7825,40.67543,-73.98058,,22.0,40.66755755,-73.982386782639,33.0,5.0,5710.0,MHz,888.0,ap-ptmp-airmax-mixed,-50.0,-50.0
43,sublink_2,nycmesh-5151-northeast ↔ nycmesh-lbe-7825,40.67545,-73.98061,,0.0,40.66756,-73.98242,33.0,0.0,62640.0,MHz,887.0,ap-ptp,-58.0,-58.0
44,sublink_1,nycmesh-2463-gbep-2274 ↔ nycmesh-2274-gbep-2463,40.720668,-73.988049,11.0,0.0,40.725903,-73.983635,,0.0,62640.0,MHz,744.0,ap-ptp,-61.0,-59.0
45,sublink_1,nycmesh-5712-gbep-115 ↔ nycmesh-115-gbep-5712,40.73676,-73.95441,4.0,0.0,40.733902,-73.950604,,0.0,62640.0,MHz,466.0,ap-ptp,-57.0,-58.0
46,sublink_1,nycmesh-5916-gbelr-265 ↔ nycmesh-265-gbelr-5916,40.69628,-73.93976,,0.0,40.705214,-73.930748,,0.0,60480.0,MHz,1265.0,ap-ptp,-62.0,-63.0
47,sublink_1,nycmesh-632-gbep-5712 ↔ nycmesh-5712-gbep-632,40.734646,-73.95053,,0.0,40.73676,-73.95441,6.0,0.0,60480.0,MHz,420.0,ap-ptp,-55.0,-55.0
48,sublink_1,nycmesh-1167-gbep-1084 ↔ nycmesh-1084-gbep-1167,40.727553,-73.946045,4.0,0.0,40.729552,-73.945949,4.0,0.0,60480.0,MHz,222.42580852822203,sta-ptp,-60.0,-61.0
49,sublink_1,nycmesh-1932-gbelr-731 ↔ nycmesh-731-gbelr-1932,40.716098,-73.985997,14.0,0.0,40.724676,-73.98073,,8.0,60480.0,MHz,1052.0539764929235,sta-ptp,-59.0,-58.0
50,sublink_1,nycmesh-1167-gbep-295 ↔ nycmesh-295-gbep-1167,40.727553,-73.946045,4.0,10.0,40.725616,-73.947094,5.0,10.0,58320.0,MHz,233.0,ap-ptp,-52.0,-51.0
51,sublink_1,nycmesh-2282-af24-162 ↔ nycmesh-162-af24-2282,40.68298,-73.993843,13.0,18.29,40.665054,-73.990616,,64.08,24200.0,MHz,2011.77254097725,sta-ptp,-53.0,-53.0
52,sublink_1,nycmesh-713-af24-231 ↔ nycmesh-231-af24-713,40.657631,-74.005173,,45.32,40.646,-74.013672,,10.0,24200.0,MHz,1510.0,ap-ptp,-57.0,-57.0
52,sublink_2,nycmesh-713-af24-231 ↔ nycmesh-231-af24-713,40.645933,-74.013631,,10.0,40.6577,-74.0051,5.0,5.0,5540.0,MHz,1493.29949146357,ap-ptmp-airmax-mixed,0.0,-48.0
53,sublink_1,nycmesh-1932-af24-227 ↔ nycmesh-227-af24-1932,40.716087,-73.986046,14.0,100.32,40.711098,-74.001289,,161.544,24200.0,MHz,1406.0,ap-ptp,-54.0,-54.0
54,sublink_1,nycmesh-713-af24hd-3461 ↔ nycmesh-3461-af24hd-713,40.658005,-74.004715,,45.32,40.672501,-73.964409,,60.95,24100.0,MHz,3800.0,ap-ptp,-57.0,-57.0
55,sublink_1,nycmesh-2299-af24-898 ↔ nycmesh-898-af24-2299,40.861412,-73.907829,,10.0,40.830547,-73.941086,41.0,10.0,24100.0,MHz,4427.69484467096,sta-ptp,-66.0,-66.0
56,sublink_1,nycmesh-730-af24-3959 ↔ nycmesh-3959-af24-730,40.843857,-73.893051,,69.0,40.841663,-73.941864,,10.0,24100.0,MHz,4061.0,ap-ptp,-69.0,-69.0
57,sublink_1,nycmesh-641-south ↔ nycmesh-lbe-634,40.7988,-73.9387,,10.0,40.7992,-73.9367,,5.0,5825.0,MHz,174.12696352501712,ap-ptmp,-54.0,-58.0
58,sublink_1,nycmesh-lbe-255 ↔ nycmesh-329-west,40.7179,-73.9436,11.0,10.0,40.717473,-73.941814,11.0,8.0,5825.0,MHz,157.83206222854912,sta-ptmp,-51.0,-69.0
59,sublink_1,nycmesh-227-ps5ac-northeast2 ↔ nycmesh-lbe-407,40.711065,-74.001308,,158.0,40.713282,-73.99037,,11.42,5820.0,MHz,951.0,ap-ptmp-airmax-mixed,-59.0,-48.0
60,sublink_1,nycmesh-227-ps5ac-northeast2 ↔ nycmesh-lbe-1971,40.711065,-74.001308,,158.0,40.712809,-73.994793,10.0,30.0,5820.0,MHz,585.0,ap-ptmp-airmax-mixed,-57.0,-47.0
60,sublink_2,nycmesh-227-ps5ac-northeast2 ↔ nycmesh-lbe-1971,40.711065,-74.001308,,158.0,40.712811,-73.994744,,5.0,5820.0,MHz,585.0,ap-ptmp-airmax-mixed,-59.0,-47.0
61,sublink_1,nycmesh-713-ltulr-2282 ↔ nycmesh-2282-ltulr-713,40.657782,-74.004848,,45.32,40.682995,-73.993789,13.0,18.29,5815.0,MHz,2954.0,ap-ptp,-47.0,-47.0
62,sublink_1,nycmesh-231-west ↔ nycmesh-lbe-866,40.645933,-74.013631,,10.0,40.645835,-74.013376,,5.0,5490.0,MHz,24.11648132617266,ap-ptmp-airmax-mixed,-64.0,-69.0
62,sublink_2,nycmesh-231-west ↔ nycmesh-lbe-866,40.645933,-74.013631,,10.0,40.6458,-74.0134,,5.0,5810.0,MHz,24.465163153067557,ap-ptmp-airmax-mixed,-53.0,-53.0
62,sublink_3,nycmesh-231-west ↔ nycmesh-lbe-866,40.645933,-74.013631,,10.0,40.6458,-74.0134,,5.0,5540.0,MHz,24.465163153067557,ap-ptmp-airmax-mixed,0.0,-49.0
62,sublink_4,nycmesh-231-west ↔ nycmesh-lbe-866,40.645933,-74.013631,,10.0,40.645834959184,-74.013376102041,5.0,5.0,5490.0,MHz,24.110853264734622,ap-ptmp-airmax-mixed,-57.0,-60.0
63,sublink_1,nycmesh-3461-ltulr-5151 ↔ nycmesh-5151-ltu-3461,40.672531,-73.964197,,60.95,40.67543,-73.98058,,22.0,5800.0,MHz,1418.7439907677456,sta-ptp,-44.0,-43.0
64,sublink_1,nycmesh-407-lbe-1971 ↔ nycmesh-1971-lbe-407,40.713282,-73.99037,,11.42,40.712811,-73.994744,10.0,30.0,5795.0,MHz,372.0,ap-ptp,-67.0,-66.0
65,sublink_1,nycmesh-731-south ↔ nycmesh-nsl-2274,40.724676,-73.98073,,8.0,40.725681,-73.983591,,8.0,5790.0,MHz,266.0,ap-ptmp-airmax-mixed,-62.0,-62.0
66,sublink_1,nycmesh-lbe-265 ↔ nycmesh-3606-south,40.70538,-73.930575,8.0,24.0,40.708452,-73.921893,8.0,30.0,5785.0,MHz,807.6191060502712,sta-ptmp,-63.0,-61.0
67,sublink_1,nycmesh-3606-south ↔ nycmesh-lbe-613,40.708452,-73.921893,8.0,30.0,40.704364,-73.924202,22.0,8.0,5785.0,MHz,650.0,ap-ptmp,-54.0,-52.0
68,sublink_1,nycmesh-168-east ↔ nycmesh-lbe-854,40.710007,-73.957881,,35.0,40.7099,-73.958,,10.0,5780.0,MHz,951.0,ap-ptmp,-53.0,-59.0
69,sublink_1,nycmesh-168-east ↔ nycmesh-lbe-4342,40.710007,-73.957881,,35.0,40.710548,-73.953428,13.0,5.0,5780.0,MHz,380.12327282550586,ap-ptmp,-53.0,-48.0
70,sublink_1,nycmesh-2482-nbe-6248 ↔ nycmesh-6248-lbe-2482,40.6997,-73.9243,23.0,10.0,40.696,-73.9398,23.0,5.0,5770.0,MHz,1369.9415621219594,ap-ptp,-45.0,-45.0
70,sublink_2,nycmesh-2482-nbe-6248 ↔ nycmesh-6248-lbe-2482,40.696038,-73.939764,,67.46,40.699705,-73.924278,23.0,10.0,5550.0,MHz,1367.0,ap-ptmp-airmax-mixed,-61.0,-65.0
71,sublink_1,nycmesh-641-lbe-642 ↔ nycmesh-642-lbe-641,40.7988,-73.9387,,10.0,40.798004,-73.934684,,10.0,5770.0,MHz,216.0,ap-ptp,-55.0,-54.0
72,sublink_1,nycmesh-5965-west ↔ nycmesh-lbe-172,40.606661,-73.992934,,10.0,40.601913,-74.001045,,5.0,5770.0,MHz,16.0,ap-ptmp,,-64.0
73,sublink_1,nycmesh-691-southwest ↔ nycmesh-pb-693,40.7029,-73.9192,,20.0,40.701,-73.9218,,5.0,5760.0,MHz,304.42242619216006,ap-ptmp,-46.0,-48.0
74,sublink_1,nycmesh-2701-southeast ↔ nycmesh-pbe-527,40.6478,-74.0007,45.0,10.0,40.635,-73.9504,,10.0,5760.0,MHz,4495.0,ap-ptmp-airmax-mixed,-76.0,-70.0
75,sublink_1,nycmesh-835-southeast ↔ nycmesh-lbe-846,40.685214,-73.954595,,10.0,40.680818,-73.954737,,5.0,5760.0,MHz,128.0,ap-ptmp,-51.0,-60.0
76,sublink_1,nycmesh-835-southeast ↔ nycmesh-lbe2-7516,40.685214,-73.954595,,10.0,40.684651,-73.952688,,5.0,5760.0,MHz,128.0,ap-ptmp,-51.0,-42.0
77,sublink_1,nycmesh-835-southeast ↔ nycmesh-lbe-7516,40.685214,-73.954595,,10.0,40.684582,-73.953083,,5.0,5760.0,MHz,128.0,ap-ptmp,-51.0,-66.0
78,sublink_1,nycmesh-2701-southeast ↔ nycmesh-lbe-648,40.6478,-74.0007,45.0,10.0,40.6478,-74.0008,45.0,25.0,5760.0,MHz,989.0,ap-ptmp-airmax-mixed,-56.0,-51.0
79,sublink_1,nycmesh-5014-west ↔ nycmesh-lbelr-511,40.693819,-73.906361,,8.0,40.705347,-73.930856,,24.0,5750.0,MHz,2425.0,ap-ptmp-airmax-mixed,-74.0,-61.0
80,sublink_1,nycmesh-1340-north2 ↔ nycmesh-lbe-691,40.685988,-73.917573,,12.93,40.7029,-73.9192,,20.0,5745.0,MHz,1901.0,ap-ptmp-airmax-mixed,-44.0,-68.0
